"Product","BoM Lines/Component","BoM Lines/Quantity"
"[CPK-UAM2-001] COMPETITION KIT UAV","COMPETITION MULTIROTOR","1.0"
"","PID TEST RACK","1.0"
"","[A506] LIPO / NIMH CHARGER","1.0"
"","[B701] SAFETY GLASSES","3.0"
"","[B503] MINDS-i TOOL","1.0"
"","[J405] 10-BEAM","2.0"
"","[J305] 15-BEAM","2.0"
"","[J401] 6-BEAM","2.0"
"","[B604] RED LASER MODULE","2.0"
"","[D606] LIPOLY SAFETY BAG","1.0"
"[A202] 4x4 BAG 2: BEAMS 2","[J305] 15-BEAM","10.0"
"","[J303] 13-BEAM","8.0"
"","[J301] 11-BEAM","4.0"
"","[J405] 10-BEAM","2.0"
"","[J404] 9-BEAM","6.0"
"","[J403] 8-BEAM","2.0"
"","[i303] 9-45 BEAM","4.0"
"","[i405] 6-45 BEAM","4.0"
"","[i403] 4-45 BEAM","4.0"
"","[i402] 3-45 BEAM","2.0"
"","[i401] 2-45 BEAM","2.0"
"[J502] 2-BEAM","[J305] 15-BEAM","0.0"
"[J503] 3-BEAM","[J305] 15-BEAM","0.0"
"[J504] 4-BEAM","[J305] 15-BEAM","0.0"
"[J505] 5-BEAM","[J305] 15-BEAM","0.0"
"[J401] 6-BEAM","[J305] 15-BEAM","56.0"
"[J402] 7-BEAM","[J305] 15-BEAM","56.0"
"[J403] 8-BEAM","[J305] 15-BEAM","0.0"
"[J404] 9-BEAM","[J305] 15-BEAM","56.0"
"[J405] 10-BEAM","[J305] 15-BEAM","56.0"
"[J301] 11-BEAM","[J305] 15-BEAM","56.0"
"[J302] 12-BEAM","[J305] 15-BEAM","56.0"
"[J303] 13-BEAM","[J305] 15-BEAM","56.0"
"[J304] 14-BEAM","[J305] 15-BEAM","56.0"
"[MCK-UALB-MR2] UAV DRONE LAB","MULTIROTOR","2.0"
"","STORAGE BIN","4.0"
"","[D901] REALFLIGHT FLIGHT SIMULATOR","1.0"
"","[B701] SAFETY GLASSES","5.0"
"","[A506] LIPO / NIMH CHARGER","1.0"
"","[B503] MINDS-i TOOL","2.0"
"","[B303] 3/32"" HEX DRIVER","1.0"
"","PID TEST RACK","1.0"
"","[D606] LIPOLY SAFETY BAG","1.0"
"","[A902] GIMBAL KIT","1.0"
"","[L202] CORRUGATED BOXES 18x12x10""","1.0"
