Order Reference,Creation Date,Customer,Total,Order Lines/Product,Order Lines/Quantity,Order Lines/Delivered Quantity,Order Lines/Unit Price,Enter,Deliv
,,,,[MIC-SUL-100] WEB BASED CURRIULUM ANNUAL SUBSCRIPTION FOR ONE PRODUCT,1,0,556.5,0,0
S00041,12/14/2021 14:30,"LAB Midwest, Eddie Johnson",463.1,[MCK-ECLB-2WD] ELECTRIC CAR LAB,1,1,450,1,1
,,,,Shipping,1,0,13.1,0,0
,,,,,0,0,0,0,0
S00040,12/8/2021 13:45,Manny Parras,2147.97,[MCK-UALB-MR2] UAV DRONE LAB,1,1,2100,1,1
,,,,Shipping,1,0,47.97,0,0
,,,,,0,0,0,0,0
S00039,12/2/2021 16:00,Columbia Basin Tech Skills Center,20981.32,6x6 (Super Rover Kit),18,18,770,1,1
,,,,ARDUINO UPGRADE,18,18,273,0,0
,,,,6x6 DUAL MOTOR GEARBOX,18,0,101.5,0,0
,,,,DUAL MOTOR Upgrade Module for Super Rover Kit ,0,18,1,0,0
,,,,Shipping,18,0,15.82,0,0
,,,,,0,0,0,0,0
,,,,,0,0,0,0,0
,,,,Shipping,1,0,95.56,0,0
,,,,,0,0,0,0,0
S00038,12/2/2021 15:38,"Atlanta Area School for the Deaf, Angelia Matthews",885.76,[MCK-ECLB-2WD] ELECTRIC CAR LAB,2,2,420,1,1
,,,,,0,0,0,0,0
,,,,Shipping,1,0,45.76,0,0
S00037,12/2/2021 14:37,Killeen ISD Distribution Center,27425.97,[MCK-FDLB-4X4] FOUNDATIONS LAB 4x4 (90 Hour),12,12,1987.5,1,1
,,,,[MCK-FDSL-090] FOUNDATIONS CURRICULUM,1,1,596.25,0,0
,,,,[MCK-FDTR-001] FOUNDATIONS TEACHERS' RESOURCE,2,1,813.75,0,0
,,,,ARDUINO UPGRADE,2,2,292.5,0,0
,,,,[A501] 250 PIECE,2,2,71.25,0,0
,,,,,0,0,0,0,0
,,,,,0,0,0,0,0
,,,,Shipping,1,0,608.28,0,0
,,,,Shipping,1,0,16.44,0,0
,,,,,0,0,0,0,0
S00036,12/2/2021 9:13,"Prince George High School, Matthew Weston",3262.89,[MCK-UALB-MR2] UAV DRONE LAB,1,1,2100,1,1
,,,,[MCK-UASL-045] DRONE CURRICULUM 45,1,1,556.5,0,0
,,,,[MCK-107P-045] FAA 107 PREP COURSE,1,1,556.5,0,0
,,,,Shipping,1,1,49.89,0,0
,,,,,0,0,0,0,0
,,,,,0,0,0,0,0
S00035,12/2/2021 8:51,"South Georgia Technical College, David Kulpers",3677.7,[MCK-DRGY-001] UAV DRONE GIMBAL RIG,2,2,1750,1,1
,,,,,0,0,0,0,0
,,,,Shipping,1,0,177.7,0,0
,,,,,0,0,0,0,0
S00034,11/30/2021 13:42,"Ellison High School, Eric Southerland",,Spektrum TX/RX USB Programming Cable,1,1,0,1,1
,,,,,0,0,0,0,0
S00032,11/19/2021 14:27,"East San Gabriel Valley ROP, Central Warehouse",94080,[MCK-FDLB-6X6] FOUNDATIONS LAB 6x6 (90 Hour),30,0,2086,1,0
,,,,[MCK-UALB-MR2] UAV DRONE LAB,15,0,2100,0,0
S00031,11/19/2021 14:23,Prince George High School,22052.22,[MCK-FDLB-6X6] FOUNDATIONS LAB 6x6 (90 Hour),10,10,2086,0,1
,,,,[MCK-FDTR-001] FOUNDATIONS TEACHERS' RESOURCE,1,0,759.5,0,0
,,,,,0,0,0,0,0
,,,,,0,0,0,0,0
,,,,Shipping,1,0,432.72,0,0
S00030,11/19/2021 14:14,Val Verde USD Warehouse,21199.2,[MCK-UALB-MR2] UAV DRONE LAB,10,10,2100,0,0
,,,,,0,0,0,0,0
,,,,,0,0,0,0,0
,,,,Shipping,10,10,19.92,0,0
S00029,11/19/2021 14:07,"Lincolnview Local School, Jordan Dues",9698.64,[MCK-UALB-MR2] UAV DRONE LAB,1,1,2100,0,0
,,,,[CPK-UAM2-001] COMPETITION KIT UAV,6,6,840,0,0
