"ID","Name","Internal Reference","Responsible","Sales Price","Cost","Quantity On Hand","Forecasted Quantity","Unit of Measure","Activity Exception Decoration"
"__export__.product_template_508_cb564823","3061 1/4-20 X .5"" BHSCS","N203","MINDS-i","1.5","0.29","562.0","562.0","Units",""
"__export__.product_template_288_69cdf994","320A BRUSHED ESC","A504","Tim Lines","158.0","28.34","76.0","-4.0","Units",""
"__export__.product_template_453_fbfd85a1","3mm BLACK POLYCARBONATE SHEET","","Chris Lines","1.0","0.0","0.0","-62.0","Units",""
"__export__.product_template_296_0eb5b685","4 PIN CABLE LATCHED-SEPERATE","B502","Tim Lines","1.0","0.0","28.0","18.0","Units","Alert"
"__export__.product_template_286_3f48c561","4 PIN ENCODER CABLE","H704","Tim Lines","1.0","0.0","57.0","57.0","Units",""
"__export__.product_template_566_17a8beca","4 Pin Encoder Cable Unfinished","","MINDS-i","1.0","0.0","0.0","0.0","Units",""
"__export__.product_template_94_4d32db3e","4-45 BEAM","i403","Tim Lines","1.15","0.23","1075.0","937.0","Units",""
"__export__.product_template_87_b9041dd1","4-BEAM","J504","Tim Lines","1.15","0.23","1315.0","373.0","Units",""
"__export__.product_template_541_b7c49dd6","4-DRIVELINE FEMALE","","MINDS-i","0.9","0.18","0.0","0.0","Units",""
"__export__.product_template_528_05fd59d7","4-DRIVELINE FEMALE ASSEMBLY","","MINDS-i","8.0","1.55","0.0","0.0","Units",""
"__export__.product_template_540_5f64c896","4-DRIVELINE MALE","","MINDS-i","0.9","0.18","0.0","0.0","Units",""
"__export__.product_template_322_836388a0","4-DRIVELINE MALE ASSEMBLY","","Tim Lines","8.0","1.55","0.0","0.0","Units",""
"__export__.product_template_267_34a5cc29","4.0mm BRUSHLESS MOTOR ADAPTER","","Tim Lines","1.0","0.0","0.0","0.0","Units",""
"__export__.product_template_302_31975116","4.8"" FOUR-LINK ARM","F406","Tim Lines","0.7","0.0","-27.0","-27.0","Units","Alert"
"__export__.product_template_182_2df83293","4500mah 4S 35~70C Lipo Pack","ELE-LIPO-450","Tim Lines","1.0","0.0","0.0","0.0","Units",""
"__export__.product_template_614_5b5644cf","4NKT1 (0.75"" OD Clear)","","MINDS-i","1.0","0.07","0.0","0.0","in",""
"__export__.product_template_389_283d35d0","4mm AXLE REAR HUB","A705","Tim Lines","1.0","0.0","17.0","-16.0","Units",""
"__export__.product_template_390_9f3cabce","4mm AXLE STEERING HUB","A704","Tim Lines","1.0","0.0","16.0","-17.0","Units",""
"__export__.product_template_397_6263e5de","4x4","","Tim Lines","750.0","0.0","5.0","14.0","Units",""
"__export__.product_template_413_2bc41025","4x4 ACCESSORIES","A606","MINDS-i","1.0","0.0","36.0","22.0","Units",""
"__export__.product_template_399_72cafddb","4x4 BAG 1: BEAMS","A201","Tim Lines","156.0","23.11","19.0","21.0","Units",""
"__export__.product_template_417_4768746e","4x4 BAG 2: BEAMS 2","A202","Tim Lines","57.0","11.28","16.0","6.0","Units",""
"__export__.product_template_400_f575e7ed","4x4 BAG 3: CONNECTORS","A203","Tim Lines","620.0","42.35","18.0","4.0","Units",""
"__export__.product_template_402_a5ec93aa","4x4 DRIVELINES","A603","Tim Lines","114.0","22.8","0.0","-3.0","Units",""
